generated_packets,delivered_packets,pdr,alive_nodes,residual_energy_mean,residual_energy_std,control_packets,retransmissions,seed,method,round,selected_next_hop_risk,latency_sec,cluster_risk
100,38,0.38,100,1.9991378254710523,0.0026614790065034996,80,14,0,LEACH,1,0.16269266727257892,0.009012282000071536,0.0
100,54,0.54,100,1.9972592600668277,0.006120660776485886,5,27,0,LEACH,2,0.1647913629169501,0.011622797999962131,0.0013313134141783119
100,53,0.53,100,1.9957623699239349,0.009679351732460557,5,17,0,LEACH,3,0.16046121504055935,0.007952079000006052,0.003064529924949268
100,47,0.47,100,1.9945791075063741,0.013238195089066733,5,16,0,LEACH,4,0.16420052770348895,0.008937065000054645,0.004849952012638441
100,47,0.47,100,1.9934303977123082,0.01688821189460552,5,17,0,LEACH,5,0.16428508705525285,0.008708716999990429,0.0066370870054599995
100,61,0.61,100,1.9915979901104575,0.02079529779995583,5,19,0,LEACH,6,0.16517777609681977,0.007548266999947373,0.008471934559161346
100,72,0.72,100,1.9894688361882493,0.025045131677857217,5,15,0,LEACH,7,0.16856890551427242,0.011036498999942523,0.01044151374039068
100,59,0.59,100,1.9877544133126528,0.028266067871031454,5,21,0,LEACH,8,0.1759473718303025,0.006683466999902521,0.012588853465362685
100,59,0.59,100,1.985779678514616,0.03228728186898515,5,26,0,LEACH,9,0.17010703253020462,0.007196915999998055,0.014220100658956656
100,65,0.65,100,1.984013072490102,0.03636114359253077,5,15,0,LEACH,10,0.1728744175656675,0.006281623000063519,0.016259246776368405
100,46,0.46,100,1.9828562137828036,0.03889796804907652,5,13,0,LEACH,11,0.17745638824895862,0.006837095000037152,0.018327068536015425
100,43,0.43,100,1.982059759886034,0.04134166038727644,5,8,0,LEACH,12,0.17936667330801598,0.008348009999963324,0.019617140032375042
100,41,0.41,100,1.9813119766227119,0.04359733215920867,5,8,0,LEACH,13,0.17769874898532503,0.006257250000089698,0.02085792829371486
100,39,0.39,100,1.980541300217692,0.04597633771807214,5,13,0,LEACH,14,0.177600522619478,0.007225662999985616,0.022004274253424185
100,62,0.62,100,1.978599063754277,0.05014531081020025,5,21,0,LEACH,15,0.181822552614,0.0063081220000640315,0.023214026219291962
100,56,0.56,100,1.9772089656804475,0.05280502551020737,5,16,0,LEACH,16,0.17879094224553213,0.006475948000002063,0.025343846400273103
100,64,0.64,100,1.9754220884468177,0.057016938398209885,5,14,0,LEACH,17,0.1867486707883215,0.006298379999975623,0.026706851108487188
100,63,0.63,100,1.9734258809725613,0.06122299924900638,5,21,0,LEACH,18,0.1846206323486814,0.006806930000038847,0.028863167357470076
100,50,0.5,100,1.971748782440936,0.06431487568434072,5,23,0,LEACH,19,0.18372207559568057,0.00799776799999563,0.03102371352137456
100,55,0.55,100,1.9704571981371297,0.0673147648610836,5,9,0,LEACH,20,0.18456581436938538,0.006727854000018851,0.03261818959486584
100,58,0.58,100,1.968799899950241,0.07119110831811355,5,21,0,LEACH,21,0.1902709314506433,0.006533269999977165,0.03416200303990312
100,20,0.2,100,1.9685095894080116,0.07132288288810625,5,9,0,LEACH,22,0.1893891714042366,0.006573739000032219,0.03615964641586661
100,44,0.44,100,1.9673746934491507,0.07472844225027711,5,15,0,LEACH,23,0.19360417586353681,0.006948951000026682,0.036231920433311825
